2025-08-03 15:07:28.840 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - Starting EventManagementBackendJavaSpringApplication using Java 21.0.4 with PID 4132 (D:\SpringBoot3\event_management_backend_java_spring\target\classes started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-08-03 16:09:51.696 [cluster-ClusterId{value='688f275e1a9d7953e69bb237', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=414060400, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003b, setVersion=25, topologyVersion=TopologyVersion{processId=688a26278238a49b6c408e28, counter=6}, lastWriteDate=Sun Aug 03 16:09:51 ICT 2025, lastUpdateTimeNanos=231969840774200}
2025-08-03 16:09:51.702 [cluster-ClusterId{value='688f275e1a9d7953e69bb237', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 with max election id 7fffffff000000000000003b and max set version 25
2025-08-03 16:09:53.224 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 136dd04f-b157-4bcc-9dbb-9a197623c83e

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-08-03 16:09:53.787 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Started EventManagementBackendJavaSpringApplicationTests in 5.821 seconds (process running for 7.136)
2025-08-03 16:09:54.372 [main] INFO  c.a.e.config.ApplicationInitConfig - CNTT department ready with ID: 6888fcb6953718eda0429191
2025-08-03 16:09:54.434 [main] INFO  c.a.e.config.ApplicationInitConfig - Default admin user already exists
2025-08-03 16:09:54.540 [main] INFO  c.a.e.config.ApplicationInitConfig - Demo student user already exists
2025-08-03 16:17:51.676 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Starting EventManagementBackendJavaSpringApplicationTests using Java 17.0.12 with PID 19048 (started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-08-03 16:17:51.682 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-08-03 16:17:54.077 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@795f6681, com.mongodb.Jep395RecordCodecProvider@66d3b881, com.mongodb.KotlinCodecProvider@3a45afd4]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-08-03 16:17:54.095 [cluster-ClusterId{value='688f2941cd7bdde9df156497', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:17:54.141 [cluster-ClusterId{value='688f2941cd7bdde9df156497', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:17:54.145 [cluster-ClusterId{value='688f2941cd7bdde9df156497', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:17:55.070 [cluster-ClusterId{value='688f2941cd7bdde9df156497', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=478011600, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003b, setVersion=25, topologyVersion=TopologyVersion{processId=688a26278238a49b6c408e28, counter=6}, lastWriteDate=Sun Aug 03 16:17:55 ICT 2025, lastUpdateTimeNanos=232453209280400}
2025-08-03 16:17:55.070 [cluster-ClusterId{value='688f2941cd7bdde9df156497', description='null'}-ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=478029200, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a2655208c90e9b0e1eded, counter=3}, lastWriteDate=Sun Aug 03 16:17:55 ICT 2025, lastUpdateTimeNanos=232453209269900}
2025-08-03 16:17:55.071 [cluster-ClusterId{value='688f2941cd7bdde9df156497', description='null'}-ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=478065400, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a25fa10cc052f6f69f45c, counter=4}, lastWriteDate=Sun Aug 03 16:17:55 ICT 2025, lastUpdateTimeNanos=232453209270000}
2025-08-03 16:17:55.079 [cluster-ClusterId{value='688f2941cd7bdde9df156497', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 with max election id 7fffffff000000000000003b and max set version 25
2025-08-03 16:17:56.670 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: e24ac12a-9106-44f5-9299-0043b023f7dd

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-08-03 16:17:57.355 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Started EventManagementBackendJavaSpringApplicationTests in 6.386 seconds (process running for 8.08)
2025-08-03 16:17:57.914 [main] INFO  c.a.e.config.ApplicationInitConfig - CNTT department ready with ID: 6888fcb6953718eda0429191
2025-08-03 16:17:57.975 [main] INFO  c.a.e.config.ApplicationInitConfig - Default admin user already exists
2025-08-03 16:17:58.079 [main] INFO  c.a.e.config.ApplicationInitConfig - Demo student user already exists
2025-08-03 16:27:54.428 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Starting EventManagementBackendJavaSpringApplicationTests using Java 17.0.12 with PID 16700 (started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-08-03 16:27:54.435 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - No active profile set, falling back to 1 default profile: "default"
2025-08-03 16:27:56.740 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@795f6681, com.mongodb.Jep395RecordCodecProvider@66d3b881, com.mongodb.KotlinCodecProvider@3a45afd4]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-08-03 16:27:56.760 [cluster-ClusterId{value='688f2b9c4fa42e021843742d', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:27:56.812 [cluster-ClusterId{value='688f2b9c4fa42e021843742d', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:27:56.815 [cluster-ClusterId{value='688f2b9c4fa42e021843742d', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:27:57.852 [cluster-ClusterId{value='688f2b9c4fa42e021843742d', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=568225300, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003b, setVersion=25, topologyVersion=TopologyVersion{processId=688a26278238a49b6c408e28, counter=6}, lastWriteDate=Sun Aug 03 16:27:57 ICT 2025, lastUpdateTimeNanos=342919831300}
2025-08-03 16:27:57.852 [cluster-ClusterId{value='688f2b9c4fa42e021843742d', description='null'}-ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=570301700, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a25fa10cc052f6f69f45c, counter=4}, lastWriteDate=Sun Aug 03 16:27:57 ICT 2025, lastUpdateTimeNanos=342919831300}
2025-08-03 16:27:57.852 [cluster-ClusterId{value='688f2b9c4fa42e021843742d', description='null'}-ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_SECONDARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=528086200, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=25, topologyVersion=TopologyVersion{processId=688a2655208c90e9b0e1eded, counter=3}, lastWriteDate=Sun Aug 03 16:27:57 ICT 2025, lastUpdateTimeNanos=342919851100}
2025-08-03 16:27:57.858 [cluster-ClusterId{value='688f2b9c4fa42e021843742d', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 with max election id 7fffffff000000000000003b and max set version 25
2025-08-03 16:27:59.502 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: 6e8fee02-85ac-4dc5-819e-a1d91ab244f1

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-08-03 16:28:00.139 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplicationTests - Started EventManagementBackendJavaSpringApplicationTests in 6.36 seconds (process running for 7.764)
2025-08-03 16:28:00.801 [main] INFO  c.a.e.config.ApplicationInitConfig - CNTT department ready with ID: 6888fcb6953718eda0429191
2025-08-03 16:28:00.864 [main] INFO  c.a.e.config.ApplicationInitConfig - Default admin user already exists
2025-08-03 16:28:00.965 [main] INFO  c.a.e.config.ApplicationInitConfig - Demo student user already exists
2025-08-03 16:45:46.673 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - Starting EventManagementBackendJavaSpringApplication using Java 17.0.12 with PID 16536 (D:\SpringBoot3\event_management_backend_java_spring\target\classes started by chayb in D:\SpringBoot3\event_management_backend_java_spring)
2025-08-03 16:45:46.682 [main] INFO  c.a.e.EventManagementBackendJavaSpringApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-03 16:45:48.081 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2025-08-03 16:45:48.084 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-08-03 16:45:48.084 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-08-03 16:45:48.162 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-03 16:45:48.355 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.5.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/17.0.12+8-LTS-286"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='chaybon894', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@545d2560, com.mongodb.Jep395RecordCodecProvider@124eb83d, com.mongodb.KotlinCodecProvider@6885ed19]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=eventcheckinsystem.wwjwkb1.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-9e3adx-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverMonitoringMode=AUTO, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null, timeoutMS=null}
2025-08-03 16:45:48.373 [cluster-ClusterId{value='688f2fccada1679afe6b32a3', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:45:48.403 [cluster-ClusterId{value='688f2fccada1679afe6b32a3', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:45:48.404 [cluster-ClusterId{value='688f2fccada1679afe6b32a3', description='null'}-srv-eventcheckinsystem.wwjwkb1.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017 to client view of cluster
2025-08-03 16:45:48.967 [cluster-ClusterId{value='688f2fccada1679afe6b32a3', description='null'}-ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, type=REPLICA_SET_PRIMARY, cryptd=false, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=220989600, minRoundTripTimeNanos=0, setName='atlas-9e3adx-shard-0', canonicalAddress=ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017, hosts=[ac-eyxdlxu-shard-00-00.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-02.wwjwkb1.mongodb.net:27017, ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017], passives=[], arbiters=[], primary='ac-eyxdlxu-shard-00-01.wwjwkb1.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='ape1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_EAST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff000000000000003b, setVersion=25, topologyVersion=TopologyVersion{processId=688a26278238a49b6c408e28, counter=6}, lastWriteDate=Sun Aug 03 16:45:49 ICT 2025, lastUpdateTimeNanos=1414036433400}
